sample_name,abdominal,caudal,img_name,crosses,plates,wells,split
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC5,12,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C5.tif,11-2_Male_x_14-2_Female,plate24,C5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF11,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F11.tif,11-2_Male_x_14-2_Female,plate23,F11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA1,14,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A1.tif,11-2_Male_x_14-2_Female,plate24,A1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB6,12,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B6.tif,11-2_Male_x_14-2_Female,plate24,B6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE1,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_E1.tif,11-2_Male_x_14-2_Female,plate23,E1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB5,13,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B5.tif,11-2_Male_x_14-2_Female,plate24,B5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC10,12,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C10.tif,11-2_Male_x_14-2_Female,plate24,C10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG5,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G5.tif,11-2_Male_x_14-2_Female,plate23,G5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC11,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C11.tif,11-2_Male_x_14-2_Female,plate24,C11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD4_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD4,12,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D4.tif,11-2_Male_x_14-2_Female,plate24,D4,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH11,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_H11.tif,11-2_Male_x_14-2_Female,plate23,H11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG11,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G11.tif,11-2_Male_x_14-2_Female,plate23,G11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG3,13,17,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G3.tif,11-2_Male_x_14-2_Female,plate23,G3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB2,13,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B2.tif,11-2_Male_x_14-2_Female,plate24,B2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH1,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_H1.tif,11-2_Male_x_14-2_Female,plate23,H1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG6,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G6.tif,11-2_Male_x_14-2_Female,plate23,G6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF10,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F10.tif,11-2_Male_x_14-2_Female,plate23,F10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF7_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF7,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F7.tif,11-2_Male_x_14-2_Female,plate23,F7,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC12_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC12,12,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C12.tif,11-2_Male_x_14-2_Female,plate24,C12,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB8_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB8,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B8.tif,11-2_Male_x_14-2_Female,plate24,B8,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG8_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG8,12,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G8.tif,11-2_Male_x_14-2_Female,plate23,G8,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB10,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B10.tif,11-2_Male_x_14-2_Female,plate24,B10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF4_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF4,13,17,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F4.tif,11-2_Male_x_14-2_Female,plate23,F4,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA10,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A10.tif,11-2_Male_x_14-2_Female,plate24,A10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA11,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A11.tif,11-2_Male_x_14-2_Female,plate24,A11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCD9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCD9,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D9.tif,11-2_Male_x_14-2_Female,plate23,D9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA2,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A2.tif,11-2_Male_x_14-2_Female,plate24,A2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD6,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D6.tif,11-2_Male_x_14-2_Female,plate24,D6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD3,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D3.tif,11-2_Male_x_14-2_Female,plate24,D3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB4_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB4,12,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B4.tif,11-2_Male_x_14-2_Female,plate24,B4,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA5,12,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A5.tif,11-2_Male_x_14-2_Female,plate24,A5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF3,14,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F3.tif,11-2_Male_x_14-2_Female,plate23,F3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG10,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G10.tif,11-2_Male_x_14-2_Female,plate23,G10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD1,12,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D1.tif,11-2_Male_x_14-2_Female,plate24,D1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCD11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCD11,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D11.tif,11-2_Male_x_14-2_Female,plate23,D11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH12_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH12,13,15,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_H12.tif,11-2_Male_x_14-2_Female,plate23,H12,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE9,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_E9.tif,11-2_Male_x_14-2_Female,plate23,E9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF12_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF12,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F12.tif,11-2_Male_x_14-2_Female,plate23,F12,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH9,13,15,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_H9.tif,11-2_Male_x_14-2_Female,plate23,H9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB3,13,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B3.tif,11-2_Male_x_14-2_Female,plate24,B3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCD5,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D5.tif,11-2_Male_x_14-2_Female,plate24,D5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB1,13,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B1.tif,11-2_Male_x_14-2_Female,plate24,B1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA6,13,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A6.tif,11-2_Male_x_14-2_Female,plate24,A6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCF2,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_F2.tif,11-2_Male_x_14-2_Female,plate23,F2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA9,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A9.tif,11-2_Male_x_14-2_Female,plate24,A9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA4_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA4,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A4.tif,11-2_Male_x_14-2_Female,plate24,A4,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC8_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC8,12,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C8.tif,11-2_Male_x_14-2_Female,plate24,C8,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE2,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_E2.tif,11-2_Male_x_14-2_Female,plate23,E2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE8_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE8,13,17,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_E8.tif,11-2_Male_x_14-2_Female,plate23,E8,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCE6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCE6,13,18,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_E6.tif,11-2_Male_x_72-1_Female,plate24,E6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH1,13,17,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_H1.tif,11-2_Male_x_72-1_Female,plate24,H1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD3,13,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_D3.tif,11-2_Male_x_72-1_Female,plate25,D3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH6,13,18,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_H6.tif,11-2_Male_x_72-1_Female,plate24,H6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD6,13,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_D6.tif,11-2_Male_x_72-1_Female,plate25,D6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF4_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF4,13,16,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_F4.tif,11-2_Male_x_72-1_Female,plate24,F4,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCC9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCC9,13,18,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_C9.tif,11-2_Male_x_72-1_Female,plate25,C9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG1,13,17,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_G1.tif,11-2_Male_x_72-1_Female,plate24,G1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD9,13,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_D9.tif,11-2_Male_x_72-1_Female,plate25,D9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF3,13,17,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_F3.tif,11-2_Male_x_72-1_Female,plate24,F3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF9,13,16,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_F9.tif,11-2_Male_x_72-1_Female,plate24,F9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCD5,14,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_D5.tif,11-2_Male_x_72-1_Female,plate25,D5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG2,13,18,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_G2.tif,11-2_Male_x_72-1_Female,plate24,G2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH3,13,17,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_H3.tif,11-2_Male_x_72-1_Female,plate24,H3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF2,14,16,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_F2.tif,11-2_Male_x_72-1_Female,plate24,F2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG11,13,17,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_G11.tif,11-2_Male_x_72-1_Female,plate24,G11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCF1,12,18,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_F1.tif,11-2_Male_x_72-1_Female,plate24,F1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCB8_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCB8,13,18,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_B8.tif,11-2_Male_x_72-1_Female,plate25,B8,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCC8_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCC8,13,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_C8.tif,11-2_Male_x_72-1_Female,plate25,C8,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCB1_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCB1,13,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_B1.tif,11-2_Male_x_72-1_Female,plate25,B1,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCA6_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate25F2VCA6,13,17,PLATE 25 F2 VC_ Male 11-2 F15 x Female 72-1 F14_A6.tif,11-2_Male_x_72-1_Female,plate25,A6,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH9_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCH9,13,17,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_H9.tif,11-2_Male_x_72-1_Female,plate24,H9,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCG3,13,16,PLATE 24 F2 VC_ Male 11-2 F15 x Female 72-1 F14_G3.tif,11-2_Male_x_72-1_Female,plate24,G3,train
